Field,ID,Type (種類),default,ja,en,de,ko,vi,zh-cn,zh-tw
OptionalPromo414x180,613,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Feature1,700,テキスト,,対象ウィンドウを指定するだけのかんたん翻訳開始,Easy translation start by simply selecting target window,Einfacher Übersetzungsstart durch Auswahl des Zielfensters,대상 창을 지정하기만 하면 간단하게 번역 시작,Bắt đầu dịch thuật đơn giản chỉ bằng cách chỉ định cửa sổ mục tiêu,只需指定目标窗口即可轻松开始翻译,只需指定目標視窗即可輕鬆開始翻譯
Feature2,701,テキスト,,訳文をゲーム／アプリ画面に重ねるオーバーレイ表示,Overlay display of translations over game/app screen,Overlay-Anzeige mit Übersetzungstext über Spiel-/App-Bildschirm,번역문을 게임/앱 화면에 겹쳐 표시하는 오버레이,Hiển thị overlay bản dịch chồng lên màn hình game/ứng dụng,将译文叠加显示在游戏/应用程序屏幕上,將譯文疊加顯示在遊戲/應用程式畫面上
Feature3,702,テキスト,,DeepL API・Google AI など複数エンジンを選択可能,Multiple engines selectable including DeepL API・Google AI,DeepL API・Google AI und weitere Engines wählbar,DeepL API・Google AI 등 다양한 엔진 선택 가능,Có thể chọn nhiều engine như DeepL API・Google AI,可选择 DeepL API・Google AI 等多种引擎,可選擇 DeepL API・Google AI 等多種引擎
Feature4,703,テキスト,,ホットキー操作,Hotkey operation,Hotkey-Bedienung,핫키 조작,Thao tác bằng phím tắt,热键操作,熱鍵操作
Feature5,704,テキスト,,,,,,,,
Feature6,705,テキスト,,,,,,,,
Feature7,706,テキスト,,,,,,,,
Feature8,707,テキスト,,,,,,,,
Feature9,708,テキスト,,,,,,,,
Feature10,709,テキスト,,,,,,,,
Feature11,710,テキスト,,,,,,,,
Feature12,711,テキスト,,,,,,,,
Feature13,712,テキスト,,,,,,,,
Feature14,713,テキスト,,,,,,,,
Feature15,714,テキスト,,,,,,,,
Feature16,715,テキスト,,,,,,,,
Feature17,716,テキスト,,,,,,,,
Feature18,717,テキスト,,,,,,,,
Feature19,718,テキスト,,,,,,,,
Feature20,719,テキスト,,,,,,,,
MinimumHardwareReq1,800,テキスト,,,,,,,,
MinimumHardwareReq2,801,テキスト,,,,,,,,
MinimumHardwareReq3,802,テキスト,,,,,,,,
MinimumHardwareReq4,803,テキスト,,,,,,,,
MinimumHardwareReq5,804,テキスト,,,,,,,,
MinimumHardwareReq6,805,テキスト,,,,,,,,
MinimumHardwareReq7,806,テキスト,,,,,,,,
MinimumHardwareReq8,807,テキスト,,,,,,,,
MinimumHardwareReq9,808,テキスト,,,,,,,,
MinimumHardwareReq10,809,テキスト,,,,,,,,
MinimumHardwareReq11,810,テキスト,,,,,,,,
RecommendedHardwareReq1,850,テキスト,,,,,,,,
RecommendedHardwareReq2,851,テキスト,,,,,,,,
RecommendedHardwareReq3,852,テキスト,,,,,,,,
RecommendedHardwareReq4,853,テキスト,,,,,,,,
RecommendedHardwareReq5,854,テキスト,,,,,,,,
RecommendedHardwareReq6,855,テキスト,,,,,,,,
RecommendedHardwareReq7,856,テキスト,,,,,,,,
RecommendedHardwareReq8,857,テキスト,,,,,,,,
RecommendedHardwareReq9,858,テキスト,,,,,,,,
RecommendedHardwareReq10,859,テキスト,,,,,,,,
RecommendedHardwareReq11,860,テキスト,,,,,,,,
SearchTerm1,900,テキスト,,翻訳ツール,translation tool,Übersetzungstool,번역 도구,công cụ dịch thuật,翻译工具,翻譯工具
SearchTerm2,901,テキスト,,ウィンドウ翻訳,window translation,Fenster-Übersetzung,윈도우 번역,dịch cửa sổ,窗口翻译,視窗翻譯
SearchTerm3,902,テキスト,,ゲーム翻訳ツール,game translation tool,Spiel-Übersetzungstool,게임 번역 도구,công cụ dịch game,游戏翻译工具,遊戲翻譯工具
SearchTerm4,903,テキスト,,アプリ画面翻訳,app screen translation,App-Bildschirm-Übersetzung,앱 화면 번역,dịch màn hình ứng dụng,应用程序屏幕翻译,應用程式畫面翻譯
SearchTerm5,904,テキスト,,画面テキスト翻訳,screen text translation,Bildschirmtext-Übersetzung,화면 텍스트 번역,dịch văn bản màn hình,屏幕文本翻译,畫面文字翻譯
SearchTerm6,905,テキスト,,PC向け翻訳ソフト,pc translation software,PC-Übersetzungssoftware,PC용 번역 소프트,phần mềm dịch cho pc,pc向け翻译软件,PC向け翻譯軟體
SearchTerm7,906,テキスト,,OCR連携翻訳ツール,OCR integrated translation tool,OCR-integriertes Übersetzungstool,OCR 연동 번역 도구,công cụ dịch kết hợp OCR,OCR集成翻译工具,OCR整合翻譯工具
TrailerToPlayAtTopOfListing,999,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Trailer1,1000,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Trailer2,1001,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Trailer3,1002,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Trailer4,1003,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Trailer5,1004,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Trailer6,1005,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Trailer7,1006,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Trailer8,1007,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Trailer9,1008,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Trailer10,1009,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Trailer11,1010,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Trailer12,1011,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Trailer13,1012,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Trailer14,1013,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
Trailer15,1014,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerTitle1,1020,テキスト,,,,,,,,
TrailerTitle2,1021,テキスト,,,,,,,,
TrailerTitle3,1022,テキスト,,,,,,,,
TrailerTitle4,1023,テキスト,,,,,,,,
TrailerTitle5,1024,テキスト,,,,,,,,
TrailerTitle6,1025,テキスト,,,,,,,,
TrailerTitle7,1026,テキスト,,,,,,,,
TrailerTitle8,1027,テキスト,,,,,,,,
TrailerTitle9,1028,テキスト,,,,,,,,
TrailerTitle10,1029,テキスト,,,,,,,,
TrailerTitle11,1030,テキスト,,,,,,,,
TrailerTitle12,1031,テキスト,,,,,,,,
TrailerTitle13,1032,テキスト,,,,,,,,
TrailerTitle14,1033,テキスト,,,,,,,,
TrailerTitle15,1034,テキスト,,,,,,,,
TrailerThumbnail1,1040,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerThumbnail2,1041,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerThumbnail3,1042,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerThumbnail4,1043,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerThumbnail5,1044,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerThumbnail6,1045,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerThumbnail7,1046,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerThumbnail8,1047,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerThumbnail9,1048,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerThumbnail10,1049,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerThumbnail11,1050,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerThumbnail12,1051,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerThumbnail13,1052,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerThumbnail14,1053,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerThumbnail15,1054,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerClosedCaption1,1055,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerClosedCaption2,1056,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerClosedCaption3,1057,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerClosedCaption4,1058,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerClosedCaption5,1059,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerClosedCaption6,1060,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerClosedCaption7,1061,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerClosedCaption8,1062,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerClosedCaption9,1063,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerClosedCaption10,1064,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerClosedCaption11,1065,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerClosedCaption12,1066,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerClosedCaption13,1067,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerClosedCaption14,1068,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerClosedCaption15,1069,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerAudioDescription1,1070,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerAudioDescription2,1071,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerAudioDescription3,1072,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerAudioDescription4,1073,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerAudioDescription5,1074,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerAudioDescription6,1075,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerAudioDescription7,1076,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerAudioDescription8,1077,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerAudioDescription9,1078,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerAudioDescription10,1079,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerAudioDescription11,1080,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerAudioDescription12,1081,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerAudioDescription13,1082,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerAudioDescription14,1083,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
TrailerAudioDescription15,1084,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
